			Position	Word Onset			Word Medial			Word Final		
bigram	All TypeF	All TokenF	All LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
ko	43	194	5.267858	7	82	4.406719	12	35	3.555348	24	77	4.343805
aj	23	155	5.043425	3	14	2.639057	20	141	4.94876	0	0	0
ja	48	136	4.912655	16	55	4.007333	17	32	3.465736	15	49	3.89182
je	13	163	5.09375	6	48	3.871201	4	111	4.70953	3	4	1.386294
ak	65	138	4.927254	7	9	2.197225	45	83	4.418841	13	46	3.828641
ki	75	318	5.762051	27	113	4.727388	34	171	5.141664	14	34	3.526361
kk	6	28	3.332205	0	0	0	6	28	3.332205	0	0	0
kr	2	3	1.098612	0	0	0	2	3	1.098612	0	0	0
kt	5	9	2.197225	0	0	0	5	9	2.197225	0	0	0
sk	28	157	5.056246	0	0	0	26	153	5.030438	2	4	1.386294
ny	22	103	4.634729	1	4	1.386294	7	24	3.178054	14	75	4.317488
'n	14	27	3.295837	1	10	2.302585	13	17	2.833213	0	0	0
oo	74	531	6.274762	0	0	0	67	456	6.122493	7	75	4.317488
n'	13	5386	8.591558	0	0	0	0	0	0	13	5386	8.591558
ex	60	1671	7.421178	34	1544	7.342132	17	83	4.418841	9	44	3.78419
xa	23	97	4.574711	0	0	0	21	86	4.454347	2	11	2.397895
lh	5	10	2.302585	0	0	0	5	10	2.302585	0	0	0
iq	99	524	6.261492	0	0	0	99	524	6.261492	0	0	0
l'	95	1180	7.07327	48	148	4.997212	43	993	6.900731	4	39	3.663562
'e	47	4860	8.488794	2	7	1.94591	42	4840	8.48467	3	13	2.564949
'i	37	946	6.852243	0	0	0	35	942	6.848005	2	4	1.386294
vv	706	7602	8.936167	0	0	0	706	7602	8.936167	0	0	0
u'	99	18399	9.820052	0	0	0	6	11	2.397895	93	18388	9.819454
nv	866	10504	9.259511	0	0	0	866	10504	9.259511	0	0	0
'o	28	84	4.430817	3	8	2.079442	18	69	4.234107	7	7	1.94591
rq	21	115	4.744932	0	0	0	21	115	4.744932	0	0	0
'u	14	77	4.343805	1	2	0.693147	13	75	4.317488	0	0	0
uv	77	650	6.476972	6	41	3.713572	71	609	6.411818	0	0	0
ej	5	6	1.791759	0	0	0	5	6	1.791759	0	0	0
jo	18	51	3.931826	6	32	3.465736	5	6	1.791759	7	13	2.564949
oe	145	1870	7.533694	0	0	0	131	1751	7.467942	14	119	4.779123
lq	2	41	3.713572	0	0	0	2	41	3.713572	0	0	0
uj	3	14	2.639057	0	0	0	3	14	2.639057	0	0	0
lv	409	3276	8.094378	0	0	0	409	3276	8.094378	0	0	0
lz	252	1329	7.192182	0	0	0	252	1329	7.192182	0	0	0
nh	5	43	3.7612	0	0	0	5	43	3.7612	0	0	0
eh	7	111	4.70953	0	0	0	1	1	0	6	110	4.70048
's	13	27	3.295837	0	0	0	5	6	1.791759	8	21	3.044522
mf	2	3	1.098612	0	0	0	2	3	1.098612	0	0	0
ml	4	75	4.317488	0	0	0	4	75	4.317488	0	0	0
mn	27	75	4.317488	3	6	1.791759	24	69	4.234107	0	0	0
ty	10	54	3.988984	0	0	0	0	0	0	10	54	3.988984
rf	183	1781	7.48493	0	0	0	183	1781	7.48493	0	0	0
mr	1	2	0.693147	0	0	0	1	2	0.693147	0	0	0
nb	9	26	3.258097	0	0	0	9	26	3.258097	0	0	0
nf	1308	11099	9.31461	0	0	0	1308	11099	9.31461	0	0	0
nj	7	13	2.564949	0	0	0	7	13	2.564949	0	0	0
nk	29	126	4.836282	0	0	0	29	126	4.836282	0	0	0
ke	75	385	5.953243	26	121	4.795791	35	219	5.389072	14	45	3.806662
ym	4	7	1.94591	0	0	0	4	7	1.94591	0	0	0
ly	12	78	4.356709	3	19	2.944439	5	50	3.912023	4	9	2.197225
ya	26	134	4.89784	4	18	2.890372	13	70	4.248495	9	46	3.828641
tl	52	472	6.156979	0	0	0	52	472	6.156979	0	0	0
ij	3	12	2.484907	0	0	0	3	12	2.484907	0	0	0
ju	41	559	6.326149	35	542	6.295266	5	16	2.772589	1	1	0
oq	35	262	5.568345	0	0	0	35	262	5.568345	0	0	0
nq	325	6245	8.739536	0	0	0	325	6245	8.739536	0	0	0
vu	185	7299	8.895493	58	2100	7.649693	127	5199	8.556222	0	0	0
ck	29	203	5.313206	0	0	0	16	76	4.330733	13	127	4.844187
sf	795	5510	8.61432	539	2973	7.997327	256	2537	7.838738	0	0	0
pn	31	114	4.736198	9	51	3.931826	22	63	4.143135	0	0	0
aq	39	175	5.164786	18	65	4.174387	20	42	3.73767	1	68	4.219508
sg	328	1255	7.134891	270	1004	6.911747	58	251	5.525453	0	0	0
by	15	144	4.969813	1	1	0	7	10	2.302585	7	133	4.890349
ay	25	202	5.308268	2	20	2.995732	11	31	3.433987	12	151	5.01728
tm	43	638	6.458338	0	0	0	43	638	6.458338	0	0	0
rj	4	7	1.94591	0	0	0	4	7	1.94591	0	0	0
rk	20	103	4.634729	0	0	0	16	84	4.430817	4	19	2.944439
hr	8	61	4.110874	0	0	0	8	61	4.110874	0	0	0
rz	380	4921	8.501267	0	0	0	380	4921	8.501267	0	0	0
sb	489	1918	7.559038	434	1758	7.471932	55	160	5.075174	0	0	0
sq	152	1616	7.387709	122	1379	7.229114	30	237	5.46806	0	0	0
ln	25	98	4.584967	0	0	0	25	98	4.584967	0	0	0
ix	16	66	4.189655	0	0	0	10	46	3.828641	6	20	2.995732
my	2	17	2.833213	0	0	0	0	0	0	2	17	2.833213
tz	11	85	4.442651	0	0	0	4	16	2.772589	7	69	4.234107
ou	15	120	4.787492	0	0	0	15	120	4.787492	0	0	0
hy	3	20	2.995732	0	0	0	0	0	0	3	20	2.995732
ps	154	879	6.778785	110	757	6.629363	41	114	4.736198	3	8	2.079442
sn	106	485	6.184149	74	155	5.043425	32	330	5.799093	0	0	0
ox	9	43	3.7612	6	36	3.583519	2	3	1.098612	1	4	1.386294
np	13	27	3.295837	0	0	0	13	27	3.295837	0	0	0
t'	27	175	5.164786	0	0	0	27	175	5.164786	0	0	0
vr	217	7887	8.972971	0	0	0	217	7887	8.972971	0	0	0
zn	1	1	0	0	0	0	1	1	0	0	0	0
zt	2	3	1.098612	0	0	0	2	3	1.098612	0	0	0
