		Total			MonoSyll			Initial			Medial			Final			nGram_Total			nGram_Word_initial
phones	Syllable Length	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF	TypeF	TokenF	LnTokenF
ze	2	430	5531.000000	8.618124	0	0.000000	0.000000	0	0.000000	0.000000	92	489.000000	6.192362	338	5042.000000	8.525558	523	5974.000000	8.695172	12	79.000000	4.369448	
di	2	4915	194778.000000	12.179616	22	130896.000000	11.782158	1611	27402.000000	10.218371	2556	24213.000000	10.094645	726	12267.000000	9.414668	6761	213347.000000	12.270675	2797	171169.000000	12.050407	
bOn	3	14	111.000000	4.709530	5	73.000000	4.290459	4	18.000000	2.890372	2	17.000000	2.833213	3	3.000000	1.098612	46	270.000000	5.598422	28	175.000000	5.164786	
djo	3	253	3683.000000	8.211483	0	0.000000	0.000000	14	26.000000	3.258097	145	766.000000	6.641182	94	2891.000000	7.969358	255	3689.000000	8.213111	14	26.000000	3.258097	
bor	3	200	1669.000000	7.419980	0	0.000000	0.000000	117	1412.000000	7.252762	77	247.000000	5.509388	6	10.000000	2.302585	312	2838.000000	7.950855	126	1431.000000	7.266129	
dag	3	16	189.000000	5.241747	0	0.000000	0.000000	0	0.000000	0.000000	16	189.000000	5.241747	0	0.000000	0.000000	49	826.000000	6.716595	0	0.000000	0.000000	
go	2	841	17412.000000	9.764915	1	4.000000	1.386294	181	4873.000000	8.491465	358	5389.000000	8.592115	301	7146.000000	8.874308	961	24598.000000	10.110420	245	11000.000000	9.305651	
rac	3	19	56.000000	4.025352	0	0.000000	0.000000	0	0.000000	0.000000	19	56.000000	4.025352	0	0.000000	0.000000	264	1705.000000	7.441320	5	10.000000	2.302585	
ca	2	1410	16035.000000	9.682529	1	32.000000	3.465736	22	109.000000	4.691348	1123	10665.000000	9.274723	264	5229.000000	8.561975	1784	18651.000000	9.833655	82	730.000000	6.593045	
bot	3	76	521.000000	6.255750	0	0.000000	0.000000	40	441.000000	6.089045	35	77.000000	4.343805	1	3.000000	1.098612	105	586.000000	6.373320	51	471.000000	6.154858	
bOz	3	12	49.000000	3.891820	0	0.000000	0.000000	7	37.000000	3.610918	5	12.000000	2.484907	0	0.000000	0.000000	12	49.000000	3.891820	7	37.000000	3.610918	
boz	3	12	28.000000	3.332205	0	0.000000	0.000000	5	9.000000	2.197225	7	19.000000	2.944439	0	0.000000	0.000000	13	29.000000	3.367296	5	9.000000	2.197225	
zan	3	100	314.000000	5.749393	0	0.000000	0.000000	1	1.000000	0.000000	97	311.000000	5.739793	2	2.000000	0.693147	200	562.000000	6.331502	1	1.000000	0.000000	
zo	2	404	6001.000000	8.699681	0	0.000000	0.000000	1	1.000000	0.000000	184	837.000000	6.729824	219	5163.000000	8.549273	426	6083.000000	8.713253	10	27.000000	3.295837	
zO	2	51	328.000000	5.793014	0	0.000000	0.000000	3	4.000000	1.386294	17	242.000000	5.488938	31	82.000000	4.406719	80	432.000000	6.068426	17	55.000000	4.007333	
brac	4	82	812.000000	6.699500	0	0.000000	0.000000	26	580.000000	6.363028	56	232.000000	5.446737	0	0.000000	0.000000	94	848.000000	6.742881	31	604.000000	6.403574	
rE	2	375	3243.000000	8.084254	0	0.000000	0.000000	90	1280.000000	7.154615	278	1912.000000	7.555905	7	51.000000	3.931826	2256	27692.000000	10.228899	185	4486.000000	8.408717	
cam	3	23	216.000000	5.375278	0	0.000000	0.000000	7	187.000000	5.231109	16	29.000000	3.367296	0	0.000000	0.000000	76	607.000000	6.408529	7	187.000000	5.231109	
can	3	105	572.000000	6.349139	0	0.000000	0.000000	12	28.000000	3.332205	92	542.000000	6.295266	1	2.000000	0.693147	205	1250.000000	7.130899	16	38.000000	3.637586	
car	3	141	307.000000	5.726848	0	0.000000	0.000000	17	37.000000	3.610918	118	248.000000	5.513429	6	22.000000	3.091042	288	1573.000000	7.360740	18	39.000000	3.663562	
cas	3	37	403.000000	5.998937	0	0.000000	0.000000	7	293.000000	5.680173	30	110.000000	4.700480	0	0.000000	0.000000	40	406.000000	6.006353	8	294.000000	5.683580	
co	2	535	5019.000000	8.520986	0	0.000000	0.000000	8	17.000000	2.833213	251	942.000000	6.848005	276	4060.000000	8.308938	560	5153.000000	8.547334	21	112.000000	4.718499	
cO	2	68	2666.000000	7.888335	3	1162.000000	7.057898	11	907.000000	6.810142	29	142.000000	4.955827	25	455.000000	6.120297	91	2870.000000	7.962067	21	2107.000000	7.653020	
brE	3	31	792.000000	6.674561	0	0.000000	0.000000	18	595.000000	6.388561	13	197.000000	5.283204	0	0.000000	0.000000	43	845.000000	6.739337	24	613.000000	6.418365	
vja	3	188	1279.000000	7.153834	0	0.000000	0.000000	15	69.000000	4.234107	125	812.000000	6.699500	48	398.000000	5.986452	210	1918.000000	7.559038	20	609.000000	6.411818	
bre	3	74	2381.000000	7.775276	0	0.000000	0.000000	16	298.000000	5.697093	30	245.000000	5.501258	28	1838.000000	7.516433	122	2749.000000	7.918992	38	486.000000	6.186209	
vjan	4	7	14.000000	2.639057	1	2.000000	0.693147	0	0.000000	0.000000	5	11.000000	2.397895	1	1.000000	0.000000	42	132.000000	4.882802	8	33.000000	3.496508	
vjar	4	2	3.000000	1.098612	0	0.000000	0.000000	0	0.000000	0.000000	2	3.000000	1.098612	0	0.000000	0.000000	16	107.000000	4.672829	4	16.000000	2.772589	
vjaz	4	8	82.000000	4.406719	0	0.000000	0.000000	0	0.000000	0.000000	8	82.000000	4.406719	0	0.000000	0.000000	8	82.000000	4.406719	0	0.000000	0.000000	
zjo	3	2725	46556.000000	10.748411	0	0.000000	0.000000	0	0.000000	0.000000	2576	42109.000000	10.648017	149	4447.000000	8.399985	2726	46557.000000	10.748433	0	0.000000	0.000000	
